route	count
main	3434
main-main	1979
main-main-main	1128
main-main-main-main	696
main-main-main-main-main	406
main-main-main-main-main-main	220
main-archive	201
main-rabota	177
main-internet	158
main-bonus	153
main-news	147
main-main-main-main-main-main-main	145
main-rabota-rabota	127
main-tariffs	117
main-archive-archive	116
main-main-rabota	111
main-internet-internet	110
main-main-archive	109
main-online	106
main-main-bonus	98
main-vklad	93
main-main-news	86
main-bonus-bonus	86
main-main-main-archive	75
main-main-main-main-main-main-main-main	72
main-archive-archive-archive	70
main-main-archive-archive	70
main-tariffs-tariffs	68
main-news-news	67
main-main-online	65
